GeneID	Chr	Start	End	Strand	Length	GeneSymbol	EnsID	EnsID_short
ENSMUSG00000025909.16_Sntg1	chr1	8361475	9298573	-	10908	Sntg1	ENSMUSG00000025909.16	ENSMUSG00000025909
ENSMUSG00000061024.8_Rrs1	chr1	9545408	9547455	+	2048	Rrs1	ENSMUSG00000061024.8	ENSMUSG00000061024
ENSMUSG00000025911.14_Adhfe1	chr1	9547948	9580673	+	3780	Adhfe1	ENSMUSG00000025911.14	ENSMUSG00000025911
ENSMUSG00000067879.3_3110035E14Rik	chr1	9601199	9627143	+	3256	3110035E14Rik	ENSMUSG00000067879.3	ENSMUSG00000067879
ENSMUSG00000025912.16_Mybl1	chr1	9667415	9700209	-	5402	Mybl1	ENSMUSG00000025912.16	ENSMUSG00000025912
ENSMUSG00000045210.8_Vcpip1	chr1	9718622	9748382	-	9749	Vcpip1	ENSMUSG00000045210.8	ENSMUSG00000045210
ENSMUSG00000025915.14_Sgk3	chr1	9798107	9900843	+	14311	Sgk3	ENSMUSG00000025915.14	ENSMUSG00000025915
ENSMUSG00000046101.16_Mcmdc2	chr1	9908638	9942085	+	5916	Mcmdc2	ENSMUSG00000046101.16	ENSMUSG00000046101
ENSMUSG00000099032.2_Tcf24	chr1	9960163	9967932	-	4193	Tcf24	ENSMUSG00000099032.2	ENSMUSG00000099032
ENSMUSG00000025916.10_Ppp1r42	chr1	9968624	10009136	-	1523	Ppp1r42	ENSMUSG00000025916.10	ENSMUSG00000025916
ENSMUSG00000025917.9_Cops5	chr1	10024601	10038149	-	3766	Cops5	ENSMUSG00000025917.9	ENSMUSG00000025917
ENSMUSG00000056763.16_Cspp1	chr1	10037987	10136768	+	17553	Cspp1	ENSMUSG00000056763.16	ENSMUSG00000056763
ENSMUSG00000067851.11_Arfgef1	chr1	10137571	10232670	-	11318	Arfgef1	ENSMUSG00000067851.11	ENSMUSG00000067851
ENSMUSG00000042501.12_Cpa6	chr1	10324720	10719945	-	6840	Cpa6	ENSMUSG00000042501.12	ENSMUSG00000042501
ENSMUSG00000048960.13_Prex2	chr1	10993465	11303681	+	16609	Prex2	ENSMUSG00000048960.13	ENSMUSG00000048960
ENSMUSG00000057715.13_A830018L16Rik	chr1	11414105	11975901	+	9183	A830018L16Rik	ENSMUSG00000057715.13	ENSMUSG00000057715
ENSMUSG00000016918.15_Sulf1	chr1	12692277	12861192	+	11294	Sulf1	ENSMUSG00000016918.15	ENSMUSG00000016918
ENSMUSG00000025938.16_Slco5a1	chr1	12866549	12992650	-	13137	Slco5a1	ENSMUSG00000025938.16	ENSMUSG00000025938
ENSMUSG00000042414.7_Prdm14	chr1	13113457	13127163	-	2564	Prdm14	ENSMUSG00000042414.7	ENSMUSG00000042414
ENSMUSG00000005886.14_Ncoa2	chr1	13139105	13374083	-	15642	Ncoa2	ENSMUSG00000005886.14	ENSMUSG00000005886
ENSMUSG00000025935.10_Tram1	chr1	13564698	13589910	-	3162	Tram1	ENSMUSG00000025935.10	ENSMUSG00000025935
ENSMUSG00000025937.6_Lactb2	chr1	13623330	13660546	-	4566	Lactb2	ENSMUSG00000025937.6	ENSMUSG00000025937
ENSMUSG00000067813.3_Xkr9	chr1	13668771	13701723	+	1926	Xkr9	ENSMUSG00000067813.3	ENSMUSG00000067813
ENSMUSG00000025932.14_Eya1	chr1	14168954	14310200	-	7808	Eya1	ENSMUSG00000025932.14	ENSMUSG00000025932
ENSMUSG00000025930.6_Msc	chr1	14753346	14755990	-	2546	Msc	ENSMUSG00000025930.6	ENSMUSG00000025930
ENSMUSG00000032769.4_Trpa1	chr1	14872648	14918862	-	4263	Trpa1	ENSMUSG00000032769.4	ENSMUSG00000032769
ENSMUSG00000092083.4_Kcnb2	chr1	15287254	15723750	+	15165	Kcnb2	ENSMUSG00000092083.4	ENSMUSG00000092083
ENSMUSG00000025925.14_Terf1	chr1	15805646	15844052	+	4608	Terf1	ENSMUSG00000025925.14	ENSMUSG00000025925
ENSMUSG00000032719.4_Sbspon	chr1	15853862	15892722	-	2748	Sbspon	ENSMUSG00000032719.4	ENSMUSG00000032719
ENSMUSG00000067795.13_4930444P10Rik	chr1	16065979	16093325	-	2063	4930444P10Rik	ENSMUSG00000067795.13	ENSMUSG00000067795
ENSMUSG00000043716.13_Rpl7	chr1	16101295	16104662	-	2687	Rpl7	ENSMUSG00000043716.13	ENSMUSG00000043716
ENSMUSG00000025921.7_Rdh10	chr1	16105774	16133734	+	4160	Rdh10	ENSMUSG00000025921.7	ENSMUSG00000025921
ENSMUSG00000025920.19_Stau2	chr1	16228674	16520112	-	6747	Stau2	ENSMUSG00000025920.19	ENSMUSG00000025920
ENSMUSG00000025939.17_Ube2w	chr1	16540790	16619312	-	4930	Ube2w	ENSMUSG00000025939.17	ENSMUSG00000025939
ENSMUSG00000079658.9_Eloc	chr1	16641725	16657042	-	3026	Eloc	ENSMUSG00000079658.9	ENSMUSG00000079658
ENSMUSG00000025940.6_Tmem70	chr1	16665207	16678195	+	1820	Tmem70	ENSMUSG00000025940.6	ENSMUSG00000025940
ENSMUSG00000025779.10_Ly96	chr1	16688051	16709537	+	1021	Ly96	ENSMUSG00000025779.10	ENSMUSG00000025779
ENSMUSG00000042686.5_Jph1	chr1	16964560	17097889	-	4998	Jph1	ENSMUSG00000042686.5	ENSMUSG00000042686
ENSMUSG00000025777.8_Gdap1	chr1	17145362	17164271	+	7731	Gdap1	ENSMUSG00000025777.8	ENSMUSG00000025777
ENSMUSG00000067780.3_Pi15	chr1	17601901	17630939	+	6923	Pi15	ENSMUSG00000067780.3	ENSMUSG00000067780
ENSMUSG00000025776.13_Crispld1	chr1	17727045	17765575	+	4515	Crispld1	ENSMUSG00000025776.13	ENSMUSG00000025776
ENSMUSG00000025774.14_Crisp4	chr1	18115191	18145896	-	2737	Crisp4	ENSMUSG00000025774.14	ENSMUSG00000025774
ENSMUSG00000073735.1_Defb18	chr1	18236473	18237443	-	258	Defb18	ENSMUSG00000073735.1	ENSMUSG00000073735
ENSMUSG00000067773.6_Defb41	chr1	18250980	18265138	-	467	Defb41	ENSMUSG00000067773.6	ENSMUSG00000067773
ENSMUSG00000042596.7_Tfap2d	chr1	19103022	19166346	+	1954	Tfap2d	ENSMUSG00000042596.7	ENSMUSG00000042596
ENSMUSG00000025927.13_Tfap2b	chr1	19208914	19238083	+	6338	Tfap2b	ENSMUSG00000025927.13	ENSMUSG00000025927
ENSMUSG00000043760.16_Pkhd1	chr1	20057779	20618064	-	14310	Pkhd1	ENSMUSG00000043760.16	ENSMUSG00000043760
ENSMUSG00000025929.4_Il17a	chr1	20730905	20734496	+	1171	Il17a	ENSMUSG00000025929.4	ENSMUSG00000025929
ENSMUSG00000041872.9_Il17f	chr1	20777146	20790617	-	2022	Il17f	ENSMUSG00000041872.9	ENSMUSG00000041872
ENSMUSG00000041859.10_Mcm3	chr1	20802968	20820312	-	3752	Mcm3	ENSMUSG00000041859.10	ENSMUSG00000041859
ENSMUSG00000025931.15_Paqr8	chr1	20890606	20939055	+	5488	Paqr8	ENSMUSG00000025931.15	ENSMUSG00000025931
ENSMUSG00000041809.5_Efhc1	chr1	20951626	20990841	+	2208	Efhc1	ENSMUSG00000041809.5	ENSMUSG00000041809
ENSMUSG00000041779.5_Tram2	chr1	20996299	21079229	-	6661	Tram2	ENSMUSG00000041779.5	ENSMUSG00000041779
ENSMUSG00000025933.15_Tmem14a	chr1	21218575	21230167	+	1351	Tmem14a	ENSMUSG00000025933.15	ENSMUSG00000025933
ENSMUSG00000025934.15_Gsta3	chr1	21240589	21265661	+	4344	Gsta3	ENSMUSG00000025934.15	ENSMUSG00000025934
ENSMUSG00000067750.3_Khdc1a	chr1	21349641	21352200	+	1987	Khdc1a	ENSMUSG00000067750.3	ENSMUSG00000067750
ENSMUSG00000041722.7_Khdc1c	chr1	21368331	21370845	+	1946	Khdc1c	ENSMUSG00000041722.7	ENSMUSG00000041722
ENSMUSG00000085079.3_Khdc1b	chr1	21383556	21386373	+	2236	Khdc1b	ENSMUSG00000085079.3	ENSMUSG00000085079
ENSMUSG00000028033.16_Kcnq5	chr1	21398403	21961581	-	7689	Kcnq5	ENSMUSG00000028033.16	ENSMUSG00000028033
ENSMUSG00000041670.16_Rims1	chr1	22286251	22805724	-	7362	Rims1	ENSMUSG00000041670.16	ENSMUSG00000041670
ENSMUSG00000073730.2_4933415F23Rik	chr1	23100473	23102253	-	1781	4933415F23Rik	ENSMUSG00000073730.2	ENSMUSG00000073730
ENSMUSG00000026158.11_Ogfrl1	chr1	23366424	23397541	-	8109	Ogfrl1	ENSMUSG00000026158.11	ENSMUSG00000026158
ENSMUSG00000026156.8_B3gat2	chr1	23761753	23849158	+	6203	B3gat2	ENSMUSG00000026156.8	ENSMUSG00000026156
ENSMUSG00000026155.13_Smap1	chr1	23844846	23922317	-	3575	Smap1	ENSMUSG00000026155.13	ENSMUSG00000026155
ENSMUSG00000026154.4_Sdhaf4	chr1	23995939	24005656	-	874	Sdhaf4	ENSMUSG00000026154.4	ENSMUSG00000026154
ENSMUSG00000026153.15_Fam135a	chr1	24011093	24100194	-	7773	Fam135a	ENSMUSG00000026153.15	ENSMUSG00000026153
ENSMUSG00000026147.16_Col9a1	chr1	24177610	24252684	+	5068	Col9a1	ENSMUSG00000026147.16	ENSMUSG00000026147
ENSMUSG00000026141.13_Col19a1	chr1	24261890	24587472	-	6887	Col19a1	ENSMUSG00000026141.13	ENSMUSG00000026141
ENSMUSG00000073725.8_Lmbrd1	chr1	24678630	24765448	+	5960	Lmbrd1	ENSMUSG00000073725.8	ENSMUSG00000073725
ENSMUSG00000033569.17_Adgrb3	chr1	25067476	25829511	-	18559	Adgrb3	ENSMUSG00000033569.17	ENSMUSG00000033569
ENSMUSG00000073722.3_4931408C20Rik	chr1	26681814	26687460	-	4318	4931408C20Rik	ENSMUSG00000073722.3	ENSMUSG00000073722
ENSMUSG00000048411.4_Gm597	chr1	28776117	28780252	-	2887	Gm597	ENSMUSG00000048411.4	ENSMUSG00000048411
ENSMUSG00000048874.15_Phf3	chr1	30802339	30873581	-	14190	Phf3	ENSMUSG00000048874.15	ENSMUSG00000048874
ENSMUSG00000026064.15_Ptp4a1	chr1	30940302	30949770	-	5763	Ptp4a1	ENSMUSG00000026064.15	ENSMUSG00000026064
ENSMUSG00000086727.7_4931428L18Rik	chr1	31135226	31222628	-	1516	4931428L18Rik	ENSMUSG00000086727.7	ENSMUSG00000086727
ENSMUSG00000050217.13_Lgsn	chr1	31176401	31204725	+	1937	Lgsn	ENSMUSG00000050217.13	ENSMUSG00000050217
ENSMUSG00000026063.4_Pih1d3	chr1	31222838	31224288	+	1451	Pih1d3	ENSMUSG00000026063.4	ENSMUSG00000026063
ENSMUSG00000026058.11_Khdrbs2	chr1	32172714	32658568	+	10291	Khdrbs2	ENSMUSG00000026058.11	ENSMUSG00000026058
ENSMUSG00000091318.2_Gm5415	chr1	32543686	32547294	-	3609	Gm5415	ENSMUSG00000091318.2	ENSMUSG00000091318
ENSMUSG00000026134.11_Prim2	chr1	33453810	33669795	-	5938	Prim2	ENSMUSG00000026134.11	ENSMUSG00000026134
ENSMUSG00000004768.14_Rab23	chr1	33719887	33742564	+	8285	Rab23	ENSMUSG00000004768.14	ENSMUSG00000004768
ENSMUSG00000042215.8_Bag2	chr1	33745484	33757741	-	3059	Bag2	ENSMUSG00000042215.8	ENSMUSG00000042215
ENSMUSG00000042197.13_Zfp451	chr1	33761545	33814385	-	15839	Zfp451	ENSMUSG00000042197.13	ENSMUSG00000042197
ENSMUSG00000042182.16_Bend6	chr1	33852052	33907768	-	3421	Bend6	ENSMUSG00000042182.16	ENSMUSG00000042182
ENSMUSG00000026131.18_Dst	chr1	33908225	34307592	+	41155	Dst	ENSMUSG00000026131.18	ENSMUSG00000026131
ENSMUSG00000042111.9_Ccdc115	chr1	34436670	34439672	-	2543	Ccdc115	ENSMUSG00000042111.9	ENSMUSG00000042111
ENSMUSG00000026127.13_Imp4	chr1	34439851	34448938	+	8553	Imp4	ENSMUSG00000026127.13	ENSMUSG00000026127
ENSMUSG00000026126.15_Ptpn18	chr1	34459762	34475733	+	6492	Ptpn18	ENSMUSG00000026126.15	ENSMUSG00000026126
ENSMUSG00000026125.9_Prss39	chr1	34498410	34503063	+	1333	Prss39	ENSMUSG00000026125.9	ENSMUSG00000026125
ENSMUSG00000026124.4_Cfc1	chr1	34535648	34544313	+	1040	Cfc1	ENSMUSG00000026124.4	ENSMUSG00000026124
ENSMUSG00000037529.13_Prss40	chr1	34543968	34560943	-	2105	Prss40	ENSMUSG00000037529.13	ENSMUSG00000037529
ENSMUSG00000045174.10_Amer3	chr1	34579657	34590944	+	4392	Amer3	ENSMUSG00000045174.10	ENSMUSG00000045174
ENSMUSG00000037509.19_Arhgef4	chr1	34678188	34812739	+	9561	Arhgef4	ENSMUSG00000037509.19	ENSMUSG00000037509
ENSMUSG00000037503.12_Fam168b	chr1	34813219	34843050	-	5219	Fam168b	ENSMUSG00000037503.12	ENSMUSG00000037503
ENSMUSG00000026123.11_Plekhb2	chr1	34849976	34879577	+	7987	Plekhb2	ENSMUSG00000026123.11	ENSMUSG00000026123
ENSMUSG00000045216.7_Hs6st1	chr1	36068400	36106446	+	5542	Hs6st1	ENSMUSG00000045216.7	ENSMUSG00000045216
ENSMUSG00000037470.14_Uggt1	chr1	36140027	36244305	-	12853	Uggt1	ENSMUSG00000037470.14	ENSMUSG00000037470
ENSMUSG00000047180.8_Neurl3	chr1	36264597	36274679	-	3217	Neurl3	ENSMUSG00000047180.8	ENSMUSG00000047180
ENSMUSG00000037447.16_Arid5a	chr1	36307733	36319203	+	12540	Arid5a	ENSMUSG00000037447.16	ENSMUSG00000037447
ENSMUSG00000010453.12_Kansl3	chr1	36335730	36369157	-	6644	Kansl3	ENSMUSG00000010453.12	ENSMUSG00000010453
ENSMUSG00000037432.15_Fer1l5	chr1	36372291	36422107	+	6356	Fer1l5	ENSMUSG00000037432.15	ENSMUSG00000037432
ENSMUSG00000001143.13_Lman2l	chr1	36419871	36445271	-	7359	Lman2l	ENSMUSG00000001143.13	ENSMUSG00000001143
ENSMUSG00000037408.10_Cnnm4	chr1	36471620	36508764	+	4829	Cnnm4	ENSMUSG00000037408.10	ENSMUSG00000037408
ENSMUSG00000001138.13_Cnnm3	chr1	36511867	36528237	+	6420	Cnnm3	ENSMUSG00000001138.13	ENSMUSG00000001138
ENSMUSG00000067653.12_Ankrd23	chr1	36530188	36536521	-	2697	Ankrd23	ENSMUSG00000067653.12	ENSMUSG00000067653
ENSMUSG00000109510.1_Gm42417	chr1	36530193	36539429	-	2327	Gm42417	ENSMUSG00000109510.1	ENSMUSG00000109510
ENSMUSG00000079610.9_Ankrd39	chr1	36537507	36547445	-	4654	Ankrd39	ENSMUSG00000079610.9	ENSMUSG00000079610
ENSMUSG00000026121.13_Sema4c	chr1	36548639	36558349	-	4593	Sema4c	ENSMUSG00000026121.13	ENSMUSG00000026121
ENSMUSG00000046337.17_Fam178b	chr1	36562692	36683183	-	3190	Fam178b	ENSMUSG00000046337.17	ENSMUSG00000046337
ENSMUSG00000061518.10_Cox5b	chr1	36691484	36693681	+	1552	Cox5b	ENSMUSG00000061518.10	ENSMUSG00000061518
ENSMUSG00000037351.9_Actr1b	chr1	36698114	36714422	-	4274	Actr1b	ENSMUSG00000037351.9	ENSMUSG00000037351
ENSMUSG00000102416.4_4933424G06Rik	chr1	36710149	36757826	+	1744	4933424G06Rik	ENSMUSG00000102416.4	ENSMUSG00000102416
ENSMUSG00000026117.10_Zap70	chr1	36761798	36782818	+	2992	Zap70	ENSMUSG00000026117.10	ENSMUSG00000026117
ENSMUSG00000026116.11_Tmem131	chr1	36792191	36943666	-	9413	Tmem131	ENSMUSG00000026116.11	ENSMUSG00000026116
ENSMUSG00000050122.18_Vwa3b	chr1	37026596	37187605	+	5386	Vwa3b	ENSMUSG00000050122.18	ENSMUSG00000050122
ENSMUSG00000026114.14_Cnga3	chr1	37214434	37262184	+	3957	Cnga3	ENSMUSG00000026114.14	ENSMUSG00000026114
ENSMUSG00000026113.17_Inpp4a	chr1	37299865	37410736	+	10387	Inpp4a	ENSMUSG00000026113.17	ENSMUSG00000026113
ENSMUSG00000026112.7_Coa5	chr1	37417084	37430103	-	5220	Coa5	ENSMUSG00000026112.7	ENSMUSG00000026112
ENSMUSG00000026111.15_Unc50	chr1	37430139	37438984	+	1579	Unc50	ENSMUSG00000026111.15	ENSMUSG00000026111
ENSMUSG00000026110.15_Mgat4a	chr1	37439340	37541016	-	12881	Mgat4a	ENSMUSG00000026110.15	ENSMUSG00000026110
ENSMUSG00000026090.16_2010300C02Rik	chr1	37611677	37720085	-	5075	2010300C02Rik	ENSMUSG00000026090.16	ENSMUSG00000026090
ENSMUSG00000060771.14_Tsga10	chr1	37754776	37866429	-	10662	Tsga10	ENSMUSG00000060771.14	ENSMUSG00000060771
ENSMUSG00000037216.5_Lipt1	chr1	37871738	37875343	+	2051	Lipt1	ENSMUSG00000037216.5	ENSMUSG00000037216
ENSMUSG00000026088.15_Mitd1	chr1	37874801	37890411	-	2770	Mitd1	ENSMUSG00000026088.15	ENSMUSG00000026088
ENSMUSG00000026087.11_Mrpl30	chr1	37890477	37898535	+	3226	Mrpl30	ENSMUSG00000026087.11	ENSMUSG00000026087
ENSMUSG00000061584.6_Lyg2	chr1	37905923	37916493	-	2564	Lyg2	ENSMUSG00000061584.6	ENSMUSG00000061584
ENSMUSG00000026085.11_Lyg1	chr1	37946736	37957759	-	888	Lyg1	ENSMUSG00000026085.11	ENSMUSG00000026085
ENSMUSG00000058407.12_Txndc9	chr1	37985189	37997243	-	9102	Txndc9	ENSMUSG00000058407.12	ENSMUSG00000058407
ENSMUSG00000026083.12_Eif5b	chr1	37998010	38055579	+	9753	Eif5b	ENSMUSG00000026083.12	ENSMUSG00000026083
ENSMUSG00000026082.11_Rev1	chr1	38052786	38129662	-	6168	Rev1	ENSMUSG00000026082.11	ENSMUSG00000026082
ENSMUSG00000037138.17_Aff3	chr1	38177326	38664955	-	6654	Aff3	ENSMUSG00000037138.17	ENSMUSG00000037138
ENSMUSG00000048814.10_Lonrf2	chr1	38793645	38836711	-	7506	Lonrf2	ENSMUSG00000048814.10	ENSMUSG00000048814
ENSMUSG00000026080.13_Chst10	chr1	38863867	38898010	-	11964	Chst10	ENSMUSG00000026080.13	ENSMUSG00000026080
ENSMUSG00000067604.8_Nms	chr1	38939149	38950276	+	1001	Nms	ENSMUSG00000067604.8	ENSMUSG00000067604
ENSMUSG00000026078.10_Pdcl3	chr1	38985608	38997238	+	4219	Pdcl3	ENSMUSG00000026078.10	ENSMUSG00000026078
ENSMUSG00000026077.15_Npas2	chr1	39193731	39363236	+	4791	Npas2	ENSMUSG00000026077.15	ENSMUSG00000026077
ENSMUSG00000073702.11_Rpl31	chr1	39367842	39371911	+	1662	Rpl31	ENSMUSG00000073702.11	ENSMUSG00000073702
ENSMUSG00000003134.10_Tbc1d8	chr1	39371492	39478755	-	5239	Tbc1d8	ENSMUSG00000003134.10	ENSMUSG00000003134
ENSMUSG00000003135.15_Cnot11	chr1	39534992	39545401	+	3508	Cnot11	ENSMUSG00000003135.15	ENSMUSG00000003135
ENSMUSG00000048234.13_Rnf149	chr1	39551296	39577356	-	2838	Rnf149	ENSMUSG00000048234.13	ENSMUSG00000048234
ENSMUSG00000050967.5_Creg2	chr1	39618406	39651474	-	6091	Creg2	ENSMUSG00000050967.5	ENSMUSG00000050967
ENSMUSG00000057173.8_Rfx8	chr1	39665301	39720997	-	2139	Rfx8	ENSMUSG00000057173.8	ENSMUSG00000057173
ENSMUSG00000091937.3_Gm3646	chr1	39804148	39805332	-	352	Gm3646	ENSMUSG00000091937.3	ENSMUSG00000091937
ENSMUSG00000026074.14_Map4k4	chr1	39900913	40026310	+	9579	Map4k4	ENSMUSG00000026074.14	ENSMUSG00000026074
ENSMUSG00000026073.13_Il1r2	chr1	40074079	40125231	+	1908	Il1r2	ENSMUSG00000026073.13	ENSMUSG00000026073
ENSMUSG00000026072.12_Il1r1	chr1	40225080	40317257	+	6363	Il1r1	ENSMUSG00000026072.12	ENSMUSG00000026072
ENSMUSG00000070942.8_Il1rl2	chr1	40324610	40365471	+	6812	Il1rl2	ENSMUSG00000070942.8	ENSMUSG00000070942
ENSMUSG00000026069.15_Il1rl1	chr1	40429570	40465415	+	6894	Il1rl1	ENSMUSG00000026069.15	ENSMUSG00000026069
ENSMUSG00000026070.15_Il18r1	chr1	40465552	40500833	+	4817	Il18r1	ENSMUSG00000026070.15	ENSMUSG00000026070
ENSMUSG00000026068.11_Il18rap	chr1	40515362	40551705	+	6752	Il18rap	ENSMUSG00000026068.11	ENSMUSG00000026068
ENSMUSG00000026065.8_Slc9a4	chr1	40580081	40630725	+	4562	Slc9a4	ENSMUSG00000026065.8	ENSMUSG00000026065
ENSMUSG00000026062.12_Slc9a2	chr1	40680574	40769273	+	6984	Slc9a2	ENSMUSG00000026062.12	ENSMUSG00000026062
ENSMUSG00000041945.12_Mfsd9	chr1	40772038	40790663	-	5125	Mfsd9	ENSMUSG00000041945.12	ENSMUSG00000041945
ENSMUSG00000079588.3_Tmem182	chr1	40805601	40856887	+	2716	Tmem182	ENSMUSG00000079588.3	ENSMUSG00000079588
ENSMUSG00000045515.3_Pou3f3	chr1	42695768	42703176	+	7409	Pou3f3	ENSMUSG00000045515.3	ENSMUSG00000045515
ENSMUSG00000060679.14_Mrps9	chr1	42851233	42905682	+	5763	Mrps9	ENSMUSG00000060679.14	ENSMUSG00000060679
ENSMUSG00000041907.9_Gpr45	chr1	42952872	43033605	+	7238	Gpr45	ENSMUSG00000041907.9	ENSMUSG00000041907
ENSMUSG00000070939.9_Tgfbrap1	chr1	43047200	43098622	-	10972	Tgfbrap1	ENSMUSG00000070939.9	ENSMUSG00000070939
ENSMUSG00000010290.7_AI597479	chr1	43098710	43115947	+	3458	AI597479	ENSMUSG00000010290.7	ENSMUSG00000010290
ENSMUSG00000008136.14_Fhl2	chr1	43123074	43196984	-	1897	Fhl2	ENSMUSG00000008136.14	ENSMUSG00000008136
ENSMUSG00000066877.11_Nck2	chr1	43444579	43569342	+	4455	Nck2	ENSMUSG00000066877.11	ENSMUSG00000066877
ENSMUSG00000026051.8_1500015O10Rik	chr1	43730602	43742578	+	902	1500015O10Rik	ENSMUSG00000026051.8	ENSMUSG00000026051
ENSMUSG00000057363.12_Uxs1	chr1	43746966	43827762	-	5097	Uxs1	ENSMUSG00000057363.12	ENSMUSG00000057363
ENSMUSG00000041763.14_Tpp2	chr1	43933647	44002971	+	10078	Tpp2	ENSMUSG00000041763.14	ENSMUSG00000041763
ENSMUSG00000047343.4_Mettl21c	chr1	44009408	44020006	-	4300	Mettl21c	ENSMUSG00000047343.4	ENSMUSG00000047343
ENSMUSG00000091844.1_Gm8251	chr1	44055952	44061936	-	5985	Gm8251	ENSMUSG00000091844.1	ENSMUSG00000091844
ENSMUSG00000026049.11_Tex30	chr1	44086613	44102391	-	1926	Tex30	ENSMUSG00000026049.11	ENSMUSG00000026049
ENSMUSG00000026047.13_Kdelc1	chr1	44106546	44118808	-	3199	Kdelc1	ENSMUSG00000026047.13	ENSMUSG00000026047
ENSMUSG00000041684.11_Bivm	chr1	44118957	44144510	+	4206	Bivm	ENSMUSG00000041684.11	ENSMUSG00000041684
ENSMUSG00000026048.16_Ercc5	chr1	44147744	44181260	+	5864	Ercc5	ENSMUSG00000026048.16	ENSMUSG00000026048
ENSMUSG00000046828.3_Mettl21e	chr1	44204070	44218961	-	3961	Mettl21e	ENSMUSG00000046828.3	ENSMUSG00000046828
ENSMUSG00000056870.9_Gulp1	chr1	44551511	44796838	+	3758	Gulp1	ENSMUSG00000056870.9	ENSMUSG00000056870
ENSMUSG00000026043.18_Col3a1	chr1	45311538	45349706	+	9816	Col3a1	ENSMUSG00000026043.18	ENSMUSG00000026043
ENSMUSG00000026042.16_Col5a2	chr1	45374321	45503282	-	9591	Col5a2	ENSMUSG00000026042.16	ENSMUSG00000026042
ENSMUSG00000025995.16_Wdr75	chr1	45795166	45823616	+	4900	Wdr75	ENSMUSG00000025995.16	ENSMUSG00000025995
ENSMUSG00000098549.1_Gm5269	chr1	45889525	45890273	-	749	Gm5269	ENSMUSG00000098549.1	ENSMUSG00000098549
ENSMUSG00000025993.10_Slc40a1	chr1	45908068	45926519	-	9000	Slc40a1	ENSMUSG00000025993.10	ENSMUSG00000025993
ENSMUSG00000041144.10_Dnah7b	chr1	46066315	46373546	+	19980	Dnah7b	ENSMUSG00000041144.10	ENSMUSG00000041144
ENSMUSG00000101337.6_Dnah7c	chr1	46425592	46807476	+	12603	Dnah7c	ENSMUSG00000101337.6	ENSMUSG00000101337
ENSMUSG00000025986.6_Slc39a10	chr1	46807544	46892852	-	6095	Slc39a10	ENSMUSG00000025986.6	ENSMUSG00000025986
ENSMUSG00000026109.14_Tmeff2	chr1	50900647	51187270	+	6707	Tmeff2	ENSMUSG00000026109.14	ENSMUSG00000026109
ENSMUSG00000045954.7_Sdpr	chr1	51289126	51302960	+	3055	Sdpr	ENSMUSG00000045954.7	ENSMUSG00000045954
ENSMUSG00000026107.11_Nabp1	chr1	51465862	51478399	-	8498	Nabp1	ENSMUSG00000026107.11	ENSMUSG00000026107
ENSMUSG00000018417.14_Myo1b	chr1	51749765	51916071	-	10792	Myo1b	ENSMUSG00000018417.14	ENSMUSG00000018417
ENSMUSG00000062939.11_Stat4	chr1	51987148	52107189	+	3872	Stat4	ENSMUSG00000062939.11	ENSMUSG00000062939
